full address,latitude,longitude,Pojemnosc,Rodzaj klienta,Kod pocz.,Miasto,Ulica,Nr budynku,Ilość poj.,Kod odpadu,Cykl,Harmonogram,Numer tygodnia,Dni tygodnia,Okres_start,Okres_stop,Suma kontrolna,1Pn,1Wt,1Sr,1Cz,1Pt,1So,2Pn,2Wt,2Sr,2Cz,2Pt,2So,3Pn,3Wt,3Sr,3Cz,3Pt,3So,4Pn,4Wt,4Sr,4Cz,4Pt,4So,Częstotliwość,groups,route
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Poland, 00-728, Warszawa, Bobrowiecka, 11",52.201656341552734,21.045366287231445,247.5,BWA,00-728,Warszawa,Bobrowiecka,11.0,1.0,150102_150106_150104_200139,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150102_150106_150104_200139,1
"Poland, 00-054, Warszawa, Jasna, 17",52.23628616333008,21.010223388671875,54.0,BWB,00-054,Warszawa,Jasna,17.0,1.0,150102_150106_150104_200139,wtorek piątek,2 razy w tygodniu,"1, 2, 3, 4","Wt, Pt",0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4Wt,4Wt_B_150102_150106_150104_200139,1
"Poland, 00-215, Warszawa, Dolańskiego, 12",52.25347900390625,21.001333236694336,54.0,BWA,00-215,Warszawa,Dolańskiego,12.0,1.0,150102_150106_150104_200139,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150102_150106_150104_200139,1
"Poland, 01-702, Warszawa, Płaskowickiej, 15",52.24480056762695,20.93050765991211,247.5,BWB,01-702,Warszawa,Płaskowickiej,15.0,1.0,150102_150106_150104_200139,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150102_150106_150104_200139,1
"Poland, 02-445, Warszawa, Parowcowa, 25",52.212764739990234,20.91698455810547,54.0,BWC,02-445,Warszawa,Parowcowa,25.0,1.0,150102_150106_150104_200139,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150102_150106_150104_200139,1
"Poland, 05-850, Ożarów Mazowiecki, Strzykulska, 23",52.22090530395508,20.812931060791016,247.5,BHC,05-850,Ożarów Mazowiecki,Strzykulska,23.0,1.0,150102_150106_150104_200139,2 i 4 wtorek,2 razy w miesiącu,"2, 4",Wt,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150102_150106_150104_200139,1
"Poland, 05-830, Stara Wieś, Tarniny, 15",52.09197998046875,20.769014358520508,247.5,BHB,05-830,Stara Wieś,Tarniny,15.0,1.0,150102_150106_150104_200139,co tydzień wtorek,1 raz w tygodniu,"1, 2, 3, 4",Wt,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150102_150106_150104_200139,1
"Poland, 02-674 , Warszawa, Marynarska, 30",52.17951583862305,20.99573516845703,247.5,BWC,02-674 ,Warszawa,Marynarska,30.0,1.0,150102_150106_150104_200139,4 wtorek,1 raz w miesiącu,4,Wt,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4Wt,4Wt_B_150102_150106_150104_200139,1
"Zawodzie 18, 02-981 Warszawa",52.18342590332031,21.08544158935547,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
